start,duration
1139907599,7156
1143907581,3822
1147907595,4283
1151907570,7474
1155907591,4469
1159907586,4365
1163907577,5305
1167907595,3698
1171907572,3099
1175907580,6751
1179907581,6133
1183907579,6301
1187907613,6536
1191907867,6605
1195907606,8857
1199907775,7701
1203907603,9128
1207907592,5884
1211907573,5261
1215907610,5165
1219907599,6680
1223907595,8114
1227907581,7970
1231907580,5041
1235907569,20544
1239907593,6006
1243735888,7260
1243754371,3674
1243907611,7593
1247907598,9289
1251907615,5875
1255907590,5678
1259907606,9541
1263907590,24297
1267907578,6143
1271907585,8721
1275907603,6078
1279907585,6711
1283907593,6092
1287907583,4026
1291907605,4504
1295907586,3207
1299907558,3449
1303907571,3175
1307907563,3524
1311907568,7061
1315907584,7527
1319907565,11054
1323907575,6004
1327907571,24963
1328047349,4309
1331907570,6801
1335907624,4813
1339907603,5066
1343907626,5347
1347907595,5213
1351907594,4916
1355907591,7999
1359907581,5862
1363907579,6676
1367907548,6253
1371907596,6050
1375907617,5617
1379907584,8447
1383907579,4836
1387907596,5921
1391907611,5050
1395907572,6714
1399907600,7350
1403907617,5906
1407907593,6452
1411326392,4275
1411907607,6070
1412425178,2601
1415907596,5492
1419907577,6239
1423907603,24381
1427907611,5917
1431907587,7427
1435907583,9192
1439907574,8790
1443907609,6270
1447907608,5951
1451907612,6170
1455907612,5602
1459907595,5885
1463907580,5162
1467907566,5866
1471907572,5926
1475907600,5877
1479907580,5754
1483907592,6092
1487907628,8560
1491907608,5668
1495907606,8030
1499907605,8878
1503907594,5843
1507907568,6918
1511907596,6268
1515907583,5587
1519907591,5372
1523907610,10242
1527907597,5905
1531907591,5384
1535907620,5740
1539907558,8461
1543907587,5972
1547907599,5519
1551907610,31033
1555907604,7202
1559907580,11928
1563907598,5765
1567907590,5174
1571907614,5729
1575907603,5856
1579907589,5184
1583907609,5369
1587907576,5760
1591907586,21869
1595907620,5319
1599907602,5529
1603907597,5661
1607907588,6211
1611907612,5990
1615907613,5686
1619907608,11941
1623907573,6253
1627907603,6768
1631907600,6305
1635907576,5891
1639907571,6041
1643907584,8068
1647907611,5558
1651907558,5403
1655907561,6057
1659907554,5537
1663907612,5642
1667907613,5356
1671907594,6116
1675907619,5664
1679907604,11693
1683907601,6137
1687907621,5924
1691907613,6198
1695907581,5478
1699907585,6060
1703907565,6477
1707907602,6013
1711907599,5695
1715907586,7215
1719907598,5570
1723907595,5487
1727907608,5877
1731907589,5716
1735907591,5494
1739907591,8354
1743907574,7432
1747907613,8017
1751907596,5633
1755907616,5884
1759907563,5595
1763907574,8364
1767907632,5600
1771907611,6083
1775907581,5715
1779907602,4964
1783907591,5587
1787907598,5599
1791907589,5306
1795907583,5226
1799907606,8413
1803907562,7025
1807907654,25335
